ROUTE_NO;STOP_NAME;TIMING;LATITUDE;LONGITUDE
33;KANDANCHAVADI;07:00:00;12.965148;80.247456
33;THORAIPAKKAM;07:05:00;12.942035;80.236185
33;SHOLINGANALLUR;07:10:00;12.898793;80.227931
33;"KUMARAN NAGAR";07:15:00;13.126342;80.227644
33;NAVALUR;07:20:00;12.844737;80.226467
33;PADUR;07:25:00;12.805312;80.224102
33;KELAMBAKKAM;07:30:00;12.789834;80.221608
33;VIT;07:45:00;12.840658;80.153187
34;"VIJAYANAGAR JUNCTION";06:45:00;12.975375;80.220614
34;"KAIVELI JUNCTION";06:50:00;12.963662;80.215367
34;"BALAJI DENTAL COLLEGE";07:00:00;12.944341;80.208436
34;PALLIKARANAI;07:05:00;12.932829;80.204043
34;MEDAVAKKAM;07:10:00;12.919785;80.182062
34;MAMBAKKAM;07:30:00;12.827724;80.165144
34;VIT;07:45:00;12.840658;80.153187
35;"KAIVELI JUNCTION";06:50:00;12.963662;80.215367
35;"BALAJI DENTAL COLLEGE";07:00:00;12.944341;80.208436
35;PALLIKARANAI;07:05:00;12.932829;80.204043
35;MEDAVAKKAM;07:15:00;12.919785;80.182062
35;CHITALAPAKKAM;07:25:00;12.936279;80.147064
35;"CHITALAPAKKAM KOOT ROAD";07:27:00;12.897529;80.18199
35;MAMBAKKAM;07:30:00;12.827724;80.165144
35;VIT;07:45:00;12.840658;80.153187
36;"MADHAVARAM ROUNDANA";06:30:00;13.144639;80.219592
36;RETTERY;06:35:00;13.132103;80.212327
36;"SENTHIL NAGAR";06:40:00;13.123498;80.20203
36;PADI;06:45:00;13.102793;80.194599
36;THIRUMANGALAM;06:50:00;13.08712;80.198155
36;"ROHINI THEATRE";06:55:00;13.07502;80.195446
36;MADURAVOYAL;07:05:00;13.06123;80.162903
36;"PORUR TOLL";07:15:00;13.043425;80.149741
36;VIT;07:45:00;12.840658;80.153187
37;"ANNA NAGAR ROUNDTANA";06:40:00;13.085045;80.21814
37;THIRUMANGALAM;06:45:00;13.087132;80.198241
37;VIT;07:45:00;12.840658;80.153187
38;"GOLDEN FLATS";06:50:00;13.088292;80.178398
38;WAVIN;06:55:00;13.088614;80.171601
38;NOLAMBUR;07:00:00;13.072103;80.167241
38;VIT;07:45:00;12.840658;80.153187
39;"NANGANALLUR J.K MAHAL";06:50:00;12.976215;80.183264
39;"NANGANALLUR PARK";06:55:00;12.970546;80.183707
39;MEENAMBAKKAM;07:00:00;12.986318;80.174669
39;PALLAVARAM;07:05:00;12.969266;80.150064
39;"CHROMPET ";07:10:00;12.951388;80.140323
39;TAMBARAM;07:15:00;12.926492;80.117787
39;IRUMBULIYUR;07:20:00;12.91665;80.106641
39;PERUNGALATHUR;07:25:00;12.905615;80.095901
39;"VANDALUR GATE";07:35:00;12.892191;80.08578
39;VIT;07:45:00;12.840658;80.153187
40;"AVADI BUSSTAND";06:30:00;13.181207;80.100435
40;"MURUGAPPA POLYTECHNIC";06:45:00;13.125423;80.118047
40;"VAISHNAVI NAGAR";06:50:00;13.129596;80.125021
40;THIRUMULLAIVOYAL;06:55:00;13.130798;80.133158
40;"AMBATTUR OT.";07:00:00;13.119771;80.149919
40;"AYAPAKKAM JUNCTION";07:15:00;13.107363;80.131346
40;"AMBATTUR TELEPHONE EXANGE.";07:20:00;13.101643;80.162003
40;VIT;07:45:00;12.840658;80.153187
41;"DLF APTS";07:00:00;12.873073;80.206802
41;"BOLLINENI HILLS ";07:05:00;12.885219;80.2038
41;"SITHALAPAKKAM KOOT ROAD";07:25:00;12.882037;80.192439
41;"SITHALAPAKKAM HOUSING BOARD";07:30:00;12.891147;80.17577
41;MAMBAKKAM;07:40:00;12.827724;80.165144
42;"THILLAI GANGA NAGAR SUBWAY";07:07:00;12.992887;80.19351
42;"VANUVAMPET CHURCH";07:10:00;12.981636;80.195737
42;"ADAMBAKKAM POLICE BOOTH";07:12:00;12.989342;80.201808
